Product Name,URL,Price (INR),Voltage (V),Power (W),Rated Current (A),No Load Current (A),Rated Torque (kg-cm),Stall Torque (kg-cm),RPM,Efficiency (%),Weight (kg),Shipping Weight (kg),Shipping Dimensions (cm),Shaft Diameter (mm),Motor Type,Model No.,Gearbox,Dimensions,Cable Length (cm)
Yalu EBike 250W 36V 328 RPM Brushless Hub Motor for E-bike,https://robu.in/product/240w-36v-brushless-hub-motor-for-e-bike,5949.00,24,250,14,1,1.7,,328,75,4.10,,,,Brushless Motor,1109,1,22,
Yalu 24V 350W 324RPM MY1016Z3 EBIKE Brush Motor,https://robu.in/product/24v-350w-my1016z3-electric-motor-for-e-bike-electric-tricycle-electric-motor,4109.00,12,350,19.2,19.2,11,11,2650,75,2.98,,,16,Brushed motor,1016,Yes,20,0.5
Yalu 350W 36V Hub Motor for Electric Bike Bicycle Front,https://robu.in/product/350w-36v-hub-motor-for-electric-bike-bicycle-front,7871.00,36,350,14,1,61,,328,70,1.4,,,16,Brushless Motor,52,,24,
Yalu 350W 36V Hub Motor for Electric Bike – Steel Colour,https://robu.in/product/350w-36v-hub-motor-for-electric-bike-steel-colour,8383.00,36,350,8,1,61,,328,75,1.4,,,,02,,57,15,
Robu Online FDM 3D Printing Service,https://robu.in/product/3d-printing-service,,,,,,,,,,,,,,,0.05,10,0.05,
Yalu 24V 500W 2500RPM MY1020 EBIKE Brush Motor,https://robu.in/product/500w-24v-dc-2500-rpm-for-scooter-bike-go-kart-minibike-e-atv-my1020,4242.00,24,500,2.5,,22,27,2500,78,4.10,,,49,Brushed motor,1020,64080,95,0.5
Yalu 6 Inch 250W 24V Brushless Hub Motor with Tyre for E-bike,https://robu.in/product/6-inch-250w-24v-brushless-hub-motor-with-tyre-for-e-bike-2,2327.00,24,350,,0.3,29,29,15,,3,,,16,Brushless Motor,,,17,
Yalu 6 Inch 350W 24V Brushless Hub Motor with Tyre for E-bike,https://robu.in/product/6-inch-350w-24v-brushless-hub-motor-with-tyre-for-e-bike,2259.00,36,350,,2.5,1.80,1.80,2750,75,1.7,,,16,Brushless Motor,1020,,17,
Yalu BM1418ZXF 350W 48V brushless tricycle Motor Kit,https://robu.in/product/bm1418zxf-350w-48v-brushless-tricycle-motor-kit,7973.00,36,350,,2.2,1.80,1.80,480,75,4.10,,,,Brushless Motor,1020,1,25,
Yalu BM1418ZXF 750W 48V brushless tricycle Motor Kit,https://robu.in/product/bm1418zxf-750w-48v-brushless-tricycle-motor-kit,8558.00,36,750,,2.5,1.80,1.80,2750,78,3,,,16,Brushless Motor,1020,1,30,
Yalu Brushless DC Motor BM1109 Kit 500W 24V,https://robu.in/product/brushless-dc-motor-bm1109-kit-500w-24v,8239.00,24,500,8,2.2,1.7,,2800,75,3,,,16,Brushless Motor,1109,,26,
Yalu 24V 250W 360RPM MY1016Z2 EBIKE Brush Motor,https://robu.in/product/ebike-my1016z2-250w-360rpm-geared-dc-motor,3443.00,12,350,19.2,0.55,11,11,360,75,2.98,,,8,Brushed motor,1016,.,22,0.5
Yalu Ebike MY1016ZL 24V 250W DC Motor,https://robu.in/product/ebike-my1016zl-24v-250w-dc-motor,4396.00,24,250,13.4,2.2,,,120,70,3,,,16,Brushed motor,1016,1,07,
Yalu 36V 600W 480RPM MY1020Z EBIKE Brush Motor,https://robu.in/product/ebike-my1020z-600w-36v-480rpm-dc-motor-gb,6229.00,24,350,19.2,19.2,11,11,480,78,2.98,,,16,Twist Throttle,1020,Yes,19,0.5
Robu Metal Laser Cutting Service,https://robu.in/product/metal-laser-cutting,,,,,,,,,,,,,,,37,01,59,
Yalu 24V 250W 2650RPM MY1016 EBIKE Brush Motor,https://robu.in/product/my1016-250w-dc-motor,1565.00,24,250,9,2.2,1.80,1.80,2650,78,210,,,12.2,Twist Throttle,1109,1,20,25
Yalu 24V 350W 2750RPM MY1016 EBIKE Brush Motor,https://robu.in/product/my1016-350w-dc-motor,2667.00,24,350,19.2,2.2,11,11,2750,78,2.98,,,01,Twist Throttle,1016,1,20,
Yalu MY1020Z 450W 36V Dc Motor,https://robu.in/product/my1020z-450w-36v-dc-motor,6446.00,12,450,8,0.55,1.80,1.80,328,75,1.06,,,8,Brushless Motor,1020,,20,
Yalu 12V 120W 3350RPM MY6812 EBIKE Brush Motor,https://robu.in/product/my6812-100w-dc-motor,1513.00,12,120,14.3,2.2,4.58,,3350,72,1.06,,,16,Brushed motor,6812,No,120,25
Yalu MY6812 150W 12V 2750RPM DC Motor for E-bike Bicycle,https://robu.in/product/my6812-150w-12v-2750rpm-dc-motor-for-e-bike-bicycle,1997.00,12,50,,0.3,1,3.5,3000,70,1.4,,,5.5,Brushed motor,6812,5693,14,
Yalu MY6812 150W 24V 2750RPM DC Motor for E-bike Bicycle,https://robu.in/product/my6812-150w-24v-2750rpm-dc-motor-for-e-bike-bicycle,1843.00,12,120,14.3,0.3,0.35,3.5,300,0.7,1.4,,,8,Twist Throttle,6812,5693,14,4
Robu Non-Metal Laser Cutting Service,https://robu.in/product/online-laser-cutting-service,,,,,,,,,,,,,,,05,,38,
Robu PCB Manufacturing Service,https://robu.in/product/online-pcb-manufacturing-service,,,,,,,,,,,,,,,,,34,
Robu Online SLA 3D Printing Service,https://robu.in/product/sla-3d-printing,,,,,,,,,,,,,,,43,,,
